ymw,hplayed
2019-09-23,0.0
2019-09-30,0.0
2019-10-07,2.215630555555556
2019-10-14,0.85946
2019-10-21,0.35961444444444446
2019-10-28,0.2522975
2019-11-04,0.6865741666666668
2019-11-11,1.7777336111111113
2019-11-18,0.044457222222222224
2019-11-25,0.0
2019-12-02,1.8254508333333335
2019-12-09,2.0043100000000003
2019-12-16,2.1032283333333335
2019-12-23,2.037736388888889
2019-12-30,1.41978
2020-01-06,0.0
2020-01-13,0.025503333333333333
2020-01-20,0.0
2020-01-27,0.0
2020-02-03,0.8464308333333334
2020-02-10,3.328155833333333
2020-02-17,3.8624252777777777
2020-02-24,3.2773927777777776
2020-03-02,0.0
2020-03-09,2.1851202777777776
2020-03-16,0.0
2020-03-23,1.2791569444444444
2020-03-30,1.082915
2020-04-06,0.07087222222222223
2020-04-13,0.5583149999999999
2020-04-20,0.26976944444444445
2020-04-27,0.0
2020-05-04,0.0
2020-05-11,1.8913369444444446
2020-05-18,0.6642513888888889
2020-05-25,0.0
2020-06-01,0.9991383333333332
2020-06-08,0.6298527777777777
2020-06-15,0.3077161111111111
2020-06-22,0.09433166666666666
2020-06-29,0.027063888888888887
2020-07-06,0.4892669444444444
2020-07-13,0.0
2020-07-20,0.01128861111111111
2020-07-27,3.6395299999999997
2020-08-03,0.0
2020-08-10,0.0
2020-08-17,0.0
2020-08-24,0.7076666666666667
2020-08-31,0.2560538888888889
2020-09-07,0.0
